"id","term","category","weight"
"1","raining","AFFECT_AVG","-0.120207876896"
"2","really good","AFFECT_AVG","-0.0437282448181"
"3","the most","AFFECT_AVG","-0.112770136616"
"4","i wanted","AFFECT_AVG","-0.150825091802"
"5","four","AFFECT_AVG","0.0221699663402"
"6","sleep","AFFECT_AVG","-0.188806068743"
"7","hanging","AFFECT_AVG","-0.0461277861542"
"8","hate","AFFECT_AVG","-0.699095669293"
"9","why ?","AFFECT_AVG","-0.143970876978"
"10","is getting","AFFECT_AVG","0.0321935173716"
"11","bike","AFFECT_AVG","-0.0611128364553"
"12","under","AFFECT_AVG","0.0610403381143"
"13","wake up","AFFECT_AVG","0.0714181785771"
"14","lord","AFFECT_AVG","0.146968269356"
"15","sorry","AFFECT_AVG","-0.218009510276"
"16","all the","AFFECT_AVG","-0.0219837023409"
"17","worth","AFFECT_AVG","-0.0139713037472"
"18","@","AFFECT_AVG","-0.172842048708"
"19","i wish","AFFECT_AVG","-0.0461576132277"
"20","gonna be","AFFECT_AVG","0.152622037788"
"21","is over","AFFECT_AVG","0.127224166047"
"22","every","AFFECT_AVG","0.0546590204925"
"23","to work","AFFECT_AVG","0.0736209989112"
"24","much better","AFFECT_AVG","0.335955025491"
"25","school","AFFECT_AVG","-0.282988037641"
"26","b-day wishes","AFFECT_AVG","0.0392444757924"
"27","pretty good","AFFECT_AVG","0.0104198948741"
"28","and paste","AFFECT_AVG","-0.0441123398894"
"29","wednesday","AFFECT_AVG","0.0998313565466"
"30","math","AFFECT_AVG","-0.0947921615401"
"31","heading","AFFECT_AVG","0.0647112543108"
"32","enjoy","AFFECT_AVG","0.0619985456503"
"33","tired","AFFECT_AVG","-0.267576765079"
"34","second","AFFECT_AVG","-0.0485532201123"
"35","street","AFFECT_AVG","-0.0384737700845"
"36","now i'm","AFFECT_AVG","-0.139556644058"
"37","needs a","AFFECT_AVG","-0.0338896540813"
"38","n","AFFECT_AVG","0.0234218950933"
"39","you can't","AFFECT_AVG","-0.0392323426251"
"40","even","AFFECT_AVG","0.0614219491717"
"41","christ","AFFECT_AVG","-0.0700488143182"
"42","my name","AFFECT_AVG","0.0377080890798"
"43","we got","AFFECT_AVG","-0.0900915288772"
"44","+","AFFECT_AVG","0.111033839844"
"45","fingers","AFFECT_AVG","-0.147751022554"
"46","lights","AFFECT_AVG","0.0973935352368"
"47","new","AFFECT_AVG","0.200435916804"
"48","ever","AFFECT_AVG","-0.0881050683093"
"49","told","AFFECT_AVG","-0.0357131118481"
"50","kicked","AFFECT_AVG","-0.0174417773602"
"51","join","AFFECT_AVG","0.150062944566"
"52","never","AFFECT_AVG","-0.0873004557722"
"53","here","AFFECT_AVG","-0.0425997334883"
"54","met","AFFECT_AVG","-0.0124701711635"
"55","100","AFFECT_AVG","0.0559785463399"
"56","aren't","AFFECT_AVG","-0.136035746102"
"57","kids","AFFECT_AVG","0.184990424192"
"58","daughter","AFFECT_AVG","0.00289680483038"
"59","good night","AFFECT_AVG","-0.226626197108"
"60","yes ,","AFFECT_AVG","0.0558966570429"
"61","leaves","AFFECT_AVG","-0.0705497895714"
"62","changed","AFFECT_AVG","-0.0783313874321"
"63","very happy","AFFECT_AVG","0.118541753127"
"64","i'd","AFFECT_AVG","-0.151971256304"
"65","ako","AFFECT_AVG","0.0224826250064"
"66","the weekend","AFFECT_AVG","-0.0247615447628"
"67","i'm","AFFECT_AVG","-0.0192974818624"
"68","fantastic","AFFECT_AVG","0.0738853119203"
"69","feelings","AFFECT_AVG","-0.033023369933"
"70","bro","AFFECT_AVG","0.0200047618016"
"71","now im","AFFECT_AVG","-0.114615117816"
"72","hoping","AFFECT_AVG","0.00171621537558"
"73","would","AFFECT_AVG","-0.0288362570005"
"74","hospital","AFFECT_AVG","-0.175024984464"
"75","had fun","AFFECT_AVG","-0.0582374632087"
"76","call","AFFECT_AVG","-0.180139502147"
"77","at work","AFFECT_AVG","0.11498754992"
"78","your status","AFFECT_AVG","0.0655300465473"
"79","type","AFFECT_AVG","-0.0225103536269"
"80","tell","AFFECT_AVG","-0.074630271052"
"81","thank everyone","AFFECT_AVG","0.00546614948495"
"82","holy","AFFECT_AVG","0.147017562646"
"83","relax","AFFECT_AVG","0.0814263167838"
"84","haha","AFFECT_AVG","0.216794943167"
"85","hurt","AFFECT_AVG","-0.193461320835"
"86","phone","AFFECT_AVG","-0.112316273852"
"87","warm","AFFECT_AVG","0.140574100128"
"88","90","AFFECT_AVG","-0.161966594157"
"89","hole","AFFECT_AVG","-0.0219080061135"
"90","hold","AFFECT_AVG","0.132071318895"
"91","you think","AFFECT_AVG","-0.188846644663"
"92","must","AFFECT_AVG","-0.0434200172957"
"93","me","AFFECT_AVG","-0.104224184924"
"94","te","AFFECT_AVG","0.00356995554524"
"95","word","AFFECT_AVG","-0.107007382894"
"96","room","AFFECT_AVG","-0.239343193285"
"97","mo","AFFECT_AVG","0.0213752003478"
"98","work","AFFECT_AVG","-0.169685499214"
"99","mi","AFFECT_AVG","0.162903083307"
"100","thank you","AFFECT_AVG","0.0982928856354"
"101","movies","AFFECT_AVG","0.0520254294892"
"102","first time","AFFECT_AVG","-0.0557607381854"
"103","ms","AFFECT_AVG","0.049347733927"
"104","mr","AFFECT_AVG","0.041447423189"
"105","my","AFFECT_AVG","-0.0180483114042"
"106","my new","AFFECT_AVG","0.116160832845"
"107","to stay","AFFECT_AVG","0.0560330637177"
"108","people that","AFFECT_AVG","-0.0514501457227"
"109","it's not","AFFECT_AVG","0.0787904205401"
"110","give","AFFECT_AVG","0.210992566013"
"111","the snow","AFFECT_AVG","-0.0273794287518"
"112","can be","AFFECT_AVG","0.133997298996"
"113","honey","AFFECT_AVG","-0.0324653741412"
"114","farmville","AFFECT_AVG","-0.0062588725989"
"115","want","AFFECT_AVG","-0.22351955939"
"116","i hope","AFFECT_AVG","0.111387409088"
"117","times","AFFECT_AVG","-0.00843536538793"
"118","end","AFFECT_AVG","-0.252979659147"
"119","turn","AFFECT_AVG","0.00442561919493"
"120","to keep","AFFECT_AVG","-0.117965413676"
"121","is having","AFFECT_AVG","-0.0892418276672"
"122","song","AFFECT_AVG","-0.0759026993521"
"123","going to","AFFECT_AVG","0.182347903459"
"124","happy birthday","AFFECT_AVG","-0.180218802204"
"125","how","AFFECT_AVG","-0.0895379763903"
"126","amazing","AFFECT_AVG","0.402864034856"
"127","trip to","AFFECT_AVG","-0.167966891823"
"128","answer","AFFECT_AVG","-0.0236706836185"
"129",":( (","AFFECT_AVG","-0.108334094085"
"130","beach","AFFECT_AVG","0.143288577279"
"131","pizza","AFFECT_AVG","0.0253217821293"
"132","bday","AFFECT_AVG","0.0101293359126"
"133","after","AFFECT_AVG","0.0948824306922"
"134","wrong","AFFECT_AVG","-0.270068929736"
"135","lay","AFFECT_AVG","0.0214586588709"
"136","law","AFFECT_AVG","0.0450882790568"
"137","you can","AFFECT_AVG","-0.176362746278"
"138","i hate","AFFECT_AVG","-0.520282860522"
"139","third","AFFECT_AVG","-0.00939310075075"
"140","appreciate","AFFECT_AVG","-0.0461910177342"
"141","lost","AFFECT_AVG","-0.148438777047"
"142","the middle","AFFECT_AVG","0.000739845731296"
"143","green","AFFECT_AVG","0.132108578327"
"144","keeps","AFFECT_AVG","-0.0398038328907"
"145","worst","AFFECT_AVG","-0.529065209584"
"146","order","AFFECT_AVG","-0.19511550427"
"147","wind","AFFECT_AVG","0.0778792526314"
"148","wine","AFFECT_AVG","0.191864507027"
"149","office","AFFECT_AVG","0.0696486393203"
"150","over","AFFECT_AVG","0.0818731699578"
"151","fall","AFFECT_AVG","0.021319745279"
"152","guess i","AFFECT_AVG","0.0181494471374"
"153","it's time","AFFECT_AVG","-0.0317798055348"
"154","are not","AFFECT_AVG","0.0758324567407"
"155","so happy","AFFECT_AVG","0.269939679081"
"156","before","AFFECT_AVG","-0.0743721562406"
"157","the wind","AFFECT_AVG","0.14597894993"
"158","take it","AFFECT_AVG","-0.072467356917"
"159","fit","AFFECT_AVG","0.0959519301439"
"160","somewhere","AFFECT_AVG","-0.0184783138002"
"161","my mind","AFFECT_AVG","-0.201983950467"
"162","fix","AFFECT_AVG","-0.14174489607"
"163",",","AFFECT_AVG","0.0202050035281"
"164","writing","AFFECT_AVG","-0.0571876894093"
"165","better","AFFECT_AVG","0.209918360375"
"166","most of","AFFECT_AVG","-0.059971175051"
"167","weeks","AFFECT_AVG","-0.00815128238557"
"168","then","AFFECT_AVG","0.0265968572059"
"169","them","AFFECT_AVG","0.0292119904166"
"170","a smile","AFFECT_AVG","-0.033655721006"
"171","to do","AFFECT_AVG","-0.0993689148655"
"172","workout","AFFECT_AVG","0.16388784684"
"173","safe","AFFECT_AVG","0.0441315337477"
"174","we'll","AFFECT_AVG","0.152873055773"
"175","as your","AFFECT_AVG","-0.0225035801136"
"176","break","AFFECT_AVG","-0.0669157744153"
"177","band","AFFECT_AVG","0.145227363002"
"178","the lord","AFFECT_AVG","0.113682986625"
"179","is always","AFFECT_AVG","-0.0286225128569"
"180","they","AFFECT_AVG","-0.0160118562981"
"181","one","AFFECT_AVG","-0.054787180124"
"182","bank","AFFECT_AVG","-0.00745514712414"
"183","is finally","AFFECT_AVG","-0.00795134658063"
"184","i've been","AFFECT_AVG","0.143458541704"
"185","l","AFFECT_AVG","-0.179639568094"
