"term","category","weight"
"(8","life_satisfaction",-0.285959747615
"(:","life_satisfaction",-1.51771088922
"(;","life_satisfaction",-2.98097992729
"(=","life_satisfaction",0.320363435795
"):","life_satisfaction",0.270269445753
");","life_satisfaction",128.215529142
")=","life_satisfaction",-26.0691053633
"-.-","life_satisfaction",12.761615372
"-_-","life_satisfaction",78.442693109
"8)","life_satisfaction",-39.6866789778
"8:","life_satisfaction",1.22140745777
"8d","life_satisfaction",-66.554019639
"8p","life_satisfaction",-25.9910777583
":'(","life_satisfaction",-36.0722981166
":')","life_satisfaction",-2.43913310092
":(","life_satisfaction",-19.2847814911
":)","life_satisfaction",0.0683976169082
":-(","life_satisfaction",-16.1257909378
":-)","life_satisfaction",7.27123021004
":-/","life_satisfaction",28.8864848672
":-d","life_satisfaction",0.189878427455
":-p","life_satisfaction",-9.20155201928
":/","life_satisfaction",-5.31713870222
"::","life_satisfaction",-0.00442947527497
":@","life_satisfaction",-20.1625810635
":[","life_satisfaction",-8.20866120333
":\\","life_satisfaction",-65.6165974614
":]","life_satisfaction",-0.0149344094039
":d","life_satisfaction",-1.85240348747
":o)","life_satisfaction",23.1992732769
":p","life_satisfaction",0.692781053082
":x","life_satisfaction",90.1753974383
":|","life_satisfaction",9.40739399546
";(","life_satisfaction",-26.3378481094
";)","life_satisfaction",-0.190754658822
";-)","life_satisfaction",7.44644990892
";]","life_satisfaction",-0.940972265875
";d","life_satisfaction",-4.70900222012
";p","life_satisfaction",-2.54041741724
"<3","life_satisfaction",0.00223983913922
"='(","life_satisfaction",-23.2676471196
"=(","life_satisfaction",-27.5954933232
"=)","life_satisfaction",6.4813444568
"=/","life_satisfaction",-13.1481052551
"=[","life_satisfaction",-16.1067361209
"=]","life_satisfaction",-0.0815346876623
"=d","life_satisfaction",0.777202418076
"=p","life_satisfaction",0.485809187109
">.<","life_satisfaction",42.2464747493
">:","life_satisfaction",-17.5999418004
">:(","life_satisfaction",-36.4996282422
">:)","life_satisfaction",-2.35031374423
">:d","life_satisfaction",4.48013140214
">_<","life_satisfaction",93.3188855004
"[:","life_satisfaction",-0.385975106149
"^.^","life_satisfaction",-2.27964536776
"^_^","life_satisfaction",-14.6561234713
"_intercept","life_satisfaction",6.9158161927
"a's","life_satisfaction",0.129807542418
"aa","life_satisfaction",-0.647634310586
"aaron","life_satisfaction",-0.0225174779801
"ab","life_satisfaction",1.13401223031
"abandoned","life_satisfaction",-10.100931674
"abby","life_satisfaction",-30.7344328058
"abc","life_satisfaction",-0.976871128914
"abilities","life_satisfaction",33.7968363731
"ability","life_satisfaction",25.026299361
"abraham","life_satisfaction",0.218721136546
"abs","life_satisfaction",-6.73967445309
"absence","life_satisfaction",2.13784621073
"absent","life_satisfaction",23.5734051071
"absolute","life_satisfaction",-43.1338570661
"absolutely","life_satisfaction",15.1970152971
"absolutly","life_satisfaction",8.95381966192
"abt","life_satisfaction",-1.82551725569
"abuse","life_satisfaction",-8.68348881143
"abused","life_satisfaction",-66.6397670613
"ac","life_satisfaction",8.42036047426
"academic","life_satisfaction",13.9861764171
"academy","life_satisfaction",12.8257440758
"accent","life_satisfaction",0.0462421444288
"accept","life_satisfaction",-11.7423827254
"acceptable","life_satisfaction",-6.28669435382
"acceptance","life_satisfaction",1.6488054083
"accepted","life_satisfaction",16.2396502897
"accepting","life_satisfaction",8.70650473764
"access","life_satisfaction",-5.20371319225
"accident","life_satisfaction",-1.77061346012
"accidentally","life_satisfaction",-17.2795612291
"accidently","life_satisfaction",-14.8390178203
"accidents","life_satisfaction",-1.13906185021
"accomplish","life_satisfaction",5.19024757353
"accomplished","life_satisfaction",10.0137151404
"accomplishment","life_satisfaction",-24.860579949
"account","life_satisfaction",1.79233178884
"accounting","life_satisfaction",3.4252288767
"accounts","life_satisfaction",-2.02359040081
"accurate","life_satisfaction",-48.833642381
"ace","life_satisfaction",50.0108182365
"ache","life_satisfaction",-31.5980013356
"aches","life_satisfaction",-34.4851970546
"achieve","life_satisfaction",0.180817023602
"achieved","life_satisfaction",-9.92811008826
"achievement","life_satisfaction",-0.352178536719
"aching","life_satisfaction",-36.0847425686
"acid","life_satisfaction",-7.30816955923
"acknowledge","life_satisfaction",3.45869849324
"acoustic","life_satisfaction",-8.84816904404
"act","life_satisfaction",-13.4099992545
"actin","life_satisfaction",-0.163501251024
"acting","life_satisfaction",-9.40636948469
"action","life_satisfaction",-7.34538012563
"actions","life_satisfaction",-29.8097405601
"active","life_satisfaction",-3.96721537628
"activities","life_satisfaction",1.02467475031
"activity","life_satisfaction",0.403807157722
"actor","life_satisfaction",16.2347864211
"actors","life_satisfaction",3.60030364663
"acts","life_satisfaction",-16.2148585012
"actual","life_satisfaction",-7.84172747478
"ad","life_satisfaction",1.37685641606
"ada","life_satisfaction",0.178493664918
"adam","life_satisfaction",0.0721698015921
"adams","life_satisfaction",-0.250538620049
"add","life_satisfaction",-2.69174682854
"added","life_satisfaction",0.453615826569
"addict","life_satisfaction",-30.320662904
"addicted","life_satisfaction",-72.0501950753
"addicting","life_satisfaction",-22.5716306948
"addiction","life_satisfaction",-43.9440324815
"addictive","life_satisfaction",-40.6497318334
"adding","life_satisfaction",-2.05757224382
"addition","life_satisfaction",-4.10540126688
"address","life_satisfaction",0.209893675151
"adds","life_satisfaction",-0.0369680774055
"adjust","life_satisfaction",-3.05191802817
"admire","life_satisfaction",-16.4670551251
"admit","life_satisfaction",-11.884294076
"admitted","life_satisfaction",2.63062987289
"adopt","life_satisfaction",0.972231790975
"adopted","life_satisfaction",-8.3544060722
"adorable","life_satisfaction",8.65023526448
"adore","life_satisfaction",-55.1149772293
"ads","life_satisfaction",0.246510311785
"adult","life_satisfaction",-27.7129440076
"adults","life_satisfaction",25.2448579716
"advance","life_satisfaction",-3.78079044975
"advanced","life_satisfaction",5.07670033101
"advantage","life_satisfaction",9.72007089006
"adventure","life_satisfaction",1.50460495437
"adventures","life_satisfaction",-0.553029712323
"advertising","life_satisfaction",-1.81910277083
"advice","life_satisfaction",1.39156485963
"advise","life_satisfaction",12.6537060093
"affair","life_satisfaction",-1.14753159672
"affect","life_satisfaction",1.93159292833
"affected","life_satisfaction",1.77935786326
"affection","life_satisfaction",1.62123022267
"afford","life_satisfaction",-13.8767626629
"afghanistan","life_satisfaction",0.911435458397
"afraid","life_satisfaction",5.60428764374
"africa","life_satisfaction",13.1053689813
"african","life_satisfaction",7.91612705576
"afternoon","life_satisfaction",11.3617916825
"age","life_satisfaction",23.8271606484
"aged","life_satisfaction",9.1711084774
"agenda","life_satisfaction",-5.20799916909
"agent","life_satisfaction",-0.291743325144
"ages","life_satisfaction",-15.6553412011
"ago","life_satisfaction",11.0991865188
"agony","life_satisfaction",-29.0563597161
"agree","life_satisfaction",-3.38424794069
"agreed","life_satisfaction",-11.0250806641
"agrees","life_satisfaction",-18.3739627165
"ah","life_satisfaction",-1.06159083429
"aha","life_satisfaction",-5.09735151324
"ahaha","life_satisfaction",-8.36439550071
"ahahaha","life_satisfaction",-10.4351375468
"ahead","life_satisfaction",-19.7519862284
